index,title_hindi,content_hindi,rating,labels,polarity,sentiment
11,सभी एंड्रॉइड गेम्स के साथ काम नहीं करना जैसे एयरकंसोल का समर्थन नहीं करना,मीडिया लोड नहीं किया जा सका. पूरी तरह से खेलने के लिए समर्पित कंसोल से जुड़ना बेहतर है।,3,Neutral,0.5,Positive
12,यह अच्छा है लेकिन सिपर क्षेत्र बार-बार गंदा हो जाता है।,यह अच्छा है लेकिन सिपर क्षेत्र बार-बार गंदा हो जाता है।,3,Neutral,0.05,Neutral
13,"मॉनिटर में कर्व है, मजबूत बैकलाइट है, लेकिन गेमिंग के लिए आदर्श नहीं है","लगभग एक वर्ष से इसका उपयोग कर रहा हूँ, मॉनिटर ओवररेटेड है, ताज़ा दरें उच्च गेम का समर्थन नहीं करती हैं। सबसे बड़ी खामियों में से एक सैमसंग का सपोर्ट है। उनके पास कोई समर्थन नहीं है, उनके कॉल सेंटर और आउटसोर्स विक्रेता समर्थन कोई समय समर्थन प्रदान नहीं करते हैं। इंजीनियरों को कोई सुराग नहीं है, वे कहते रहेंगे कि दूसरा विभाग काम करेगा, पार",2,Negative,0.1533,Positive
14,2 महीने के उपयोग के बाद रिसाव शुरू हो गया।,सिफारिश नहीं की गई। गड़बड़ी पैदा करता है.,2,Negative,0.0,Neutral
15,अच्छा उत्पाद नहीं है,लाइटें दी गई वाट क्षमता के अनुसार ठीक से चमक नहीं रही हैं और बैटरी बैकअप सिर्फ एक घंटे से कम है और मंद प्रकाश प्रदान करती है,2,Negative,-0.0167,Neutral
16,पंखा ठीक से काम कर रहा है,उच्च गति में बैटरी पर चलने पर रन टाइम केवल 1 घंटा है जो कि उनके दावे को पूरा नहीं करता है। कुल मिलाकर कामकाज अच्छा है,3,Neutral,0.215,Positive
17,मजबूत दैनिक उपयोग की पानी की बोतल।,"साफ करने में आसान, अच्छी मजबूत पानी की बोतल।",4,Positive,0.4833,Positive
18,उत्पाद,अच्छा उत्पाद इसके लायक है.,5,Positive,0.5,Positive
19,उपयोग करने में अच्छा है,मीडिया लोड नहीं किया जा सका. उपयोग करने में अच्छा है,3,Neutral,0.7,Positive
20,10 महीने में काम बंद करो.,मैं फरवरी 2023 में खरीदता हूं और दिसंबर के अंत में यह काम करना बंद कर देता है।,2,Negative,-0.3,Negative
21,अच्छे ग्राहक को बेवकूफ बनाने के लिए नकली मार्केटिंग,"जब मुझे एहसास हुआ कि अन्य उत्पादों के मेरे सूक्ष्म निरीक्षण के बावजूद, यह उतना शानदार नहीं था जितना मैंने अनुमान लगाया था, तो मैं निराश हो गया। ऐसा लग रहा था कि यह बहुत ही निम्न गुणवत्ता का है, और वस्तु मेरे मिलने से पहले ही खराब हो चुकी थी।",1,Negative,-0.3021,Negative
22,बेहद घटिया उत्पाद,"आयरन केवल 1 महीने के भीतर काम नहीं कर रहा है और हैवेल्स सेवा टीम से बेहद खराब प्रतिक्रिया मिलने के बाद, वे 10 दिनों में भी आयरन की मरम्मत नहीं कर सके। भयानक अनुभव।",1,Negative,-0.5067,Negative
23,बढ़िया ऑडियो गुणवत्ता और लंबे समय तक चलने वाला,"वनप्लस 11 खरीदते समय मुझे यह डील में मिला था। इनमें शानदार ऑडियो क्वालिटी है, मैं अलग-अलग नॉइज़ कैंसलेशन सेटिंग के साथ आता हूं जो बिल्कुल ठीक काम करता है। इसमें ट्रांसपेरेंसी मोड भी है जिससे आप बाहरी शोर भी सुन सकते हैं। कभी ऐसा महसूस नहीं हुआ कि मेरी सुनने की क्षमता को नुकसान पहुंच रहा है। गेमिंग, मूवी आदि के लिए इसमें डॉल्बी ऑडियो फिक्शन और ऑटो एडेप्टिव फिक्शन भी है। मैं इसे ऑटो सेटिंग में रखता हूं और इसमें बहुत लंबी बैटरी लाइफ होती है। एक बार चार्ज करने पर 4 घंटे और फिर इसे केस के साथ 4-5 बार रिचार्ज करें। मैं एक भारी उपयोगकर्ता नहीं हूं, इन बैटरी की समीक्षा मेरे अनुभव के अनुसार है। भारी उपयोगकर्ता के लिए यह कम हो सकता है।",5,Positive,0.2336,Positive
24,निश्चित रूप से यह इसके लायक नहीं है,"कोई उचित वायु प्रवाह नहीं, इसे खरीदने के बारे में सोचा क्योंकि कीमत कम थी लेकिन लगभग कोई वायु प्रवाह नहीं, उत्पाद पूरी तरह से बकवास।",1,Negative,0.0333,Neutral
25,अच्छा उत्पाद,"अच्छा उत्पाद, भारी शरीर, उपयोग के दौरान शोर, लेकिन इस कीमत में कुल मिलाकर अच्छा है",3,Neutral,0.3,Positive
26,एक माह के अंदर डिस्प्ले जारी करें।,"मैंने यह उत्पाद 8 सितंबर को खरीदा था और 2 अक्टूबर को स्क्रीन के केंद्र पर एक लाइन दिखाई दी। एक महीना भी नहीं बचा. सैमसंग जैसे ब्रांड से कभी इसकी उम्मीद नहीं थी। सचमुच दयनीय।*** अद्यतन*** निश्चित नहीं कि कैसे, लेकिन अगले ही दिन यह गायब हो गया।",3,Neutral,-0.1929,Negative
27,बिना आवाज के टीवी नहीं देख सकते,"मुझे यह उत्पाद पसंद है. लेकिन आपने ध्वनि डिफॉल्ट टीवी दे दी। ध्वनि के बिना, टीवी नहीं देख पाने के कारण मैंने इसका उपयोग नहीं किया। आपके इंस्टॉलेशन व्यक्ति ने टीवी इंस्टॉल किया है। उन्होंने निरीक्षण के बाद अपने कार्यालय को रिपोर्ट दी कि टीवी साउंड सिस्टम डिफॉल्ट है। प्रतिस्थापन की प्रतीक्षा की जा रही है। लेकिन किसी ने भी हमें टीवी बदलने और इंस्टालेशन के लिए नहीं बुलाया। कृपया जितनी जल्दी हो सके टीवी बदलवाएं और इंस्टालेशन करें। मैंने अमेज़न कस्टमर केयर और VW कस्टमर केयर से बात की और मेल किया। अमेज़न कस्टमर केयर वालों ने कहा कि आपको इस समस्या का समाधान मिल जाएगा। उसी समय VW ग्राहक सेवा के व्यक्तियों ने कहा कि हमारे तकनीकी व्यक्ति आएंगे और टीवी की जांच करेंगे और टीवी के हिस्सों को ठीक करेंगे। लेकिन मैंने कहा कि मुझे प्रतिस्थापन की आवश्यकता है। VW टीवी कंपनी के लोगों ने मुझसे कहा कि जितनी जल्दी हो सके टीवी हटा दें। खेप 20/01/2024 को आपके पते पर भेज दी गई। आज तक मुझे टीवी नहीं मिला है। अमेज़ॅन ऐप के खरीदारों को मेरी सलाह है कि भविष्य में वीडब्ल्यू टीवी या कोई इलेक्ट्रॉनिक आइटम न खरीदें। आपकी वजह से हो सकता है आपको भी वही समस्याएं मिलीं।",1,Negative,0.1333,Positive
28,खरीदारी के एक महीने बाद काम करना बंद कर दिया,खरीदारी के एक महीने के बाद उत्पाद में कोई चार्ज नहीं है और न ही यह काम कर रहा है। इस बेकार उत्पाद को न खरीदें,1,Negative,-0.5,Negative
29,रेडमी बड्स के रूप में अच्छा नहीं है,"मैंने इसे दो बार खरीदा है लेकिन इसकी आवाज़ तेज़ है लेकिन बास बहुत कम है, इसलिए यदि आप बास प्रेमी हैं तो इसे न खरीदें।",2,Negative,-0.05,Negative
30,निराशाजनक सामग्री का उपयोग किया गया...,पहली बार मिल्टन के बैनर तले इस प्रकार की सस्ती गुणवत्ता वाली सामग्री देखने को मिली..!!,1,Negative,0.4375,Positive
31,चलते-फिरते चार्जिंग के लिए एक गेम चेंजर,"आकर्षक डिजाइन और मजबूत निर्माण: मुझे यह बताते हुए खुशी हो रही है कि यह केवल दिखावे के बारे में नहीं है - निर्माण की गुणवत्ता उत्कृष्ट है, पावर बैंक लंबे दिनों के दौरान मेरा विश्वसनीय साथी बन गया है। मैं अपने स्मार्टफोन को कई बार चार्ज कर सकता हूं। सुविधाओं और गुणवत्ता को ध्यान में रखते हुए, इस पावर बैंक की कीमत उचित से अधिक है। यह उन लोगों के लिए एक सार्थक निवेश है जो पूरे दिन अपने उपकरणों पर निर्भर रहते हैं। मेरे पास पावर बैंक के बारे में कुछ प्रश्न थे, और [ब्रांड नाम] से ग्राहक सहायता शीर्ष पायदान पर थी।",5,Positive,0.4563,Positive
32,एक प्रोफेशनल की तरह सफ़ाई करता है,मेरे जैसे पहली बार उपयोग करने वालों के लिए यह काम करता है और मेरे दांतों को बहुत साफ रखता है और इसका उपयोग करना बहुत आसान है और बैटरी मेरे लिए एक बार चार्ज करने पर कम से कम एक सप्ताह तक चलती है। यह इसके लायक है और आपके मसूड़ों के लिए भी कोमल है ð,5,Positive,0.2317,Positive
33,बहुत अच्छी क्वालिटी की घड़ी,"बहुत अच्छी गुणवत्ता वाली स्मार्ट घड़ी... मेरे बेटे को यह बहुत पसंद है.. कार्यक्षमता और डिज़ाइन के मामले में यह मेरी अपेक्षाओं से कहीं अधिक है। इस स्मार्टवॉच में पैक की गई सुविधाओं की श्रृंखला वास्तव में प्रभावशाली है। निर्बाध कॉल प्रबंधन से लेकर सटीक फिटनेस ट्रैकिंग तक, यह मेरी दैनिक दिनचर्या में सहजता से एकीकृत हो जाता है। कॉल की गुणवत्ता स्पष्ट है, और मैं अपनी कलाई से सीधे कॉल लेने में सक्षम होने की सुविधा की सराहना करता हूं, खासकर जब मैं यात्रा पर हूं। फिटनेस ट्रैकिंग क्षमताएं मजबूत हैं, जो मेरी गतिविधि के स्तर में मूल्यवान अंतर्दृष्टि प्रदान करती हैं और मुझे अपने स्वास्थ्य लक्ष्यों के शीर्ष पर बने रहने में मदद करती हैं। घड़ी का चिकना और स्टाइलिश डिज़ाइन एक और मुख्य आकर्षण है, जो इसे आकस्मिक और औपचारिक दोनों अवसरों के लिए एक बहुमुखी सहायक वस्तु बनाता है।",5,Positive,0.3143,Positive
34,बौल्ट z60 के बारे में,"मीडिया लोड नहीं किया जा सका. इसका इस्तेमाल किया गया उत्पाद नया नहीं है, लेकिन बास माइक केस जैसी सभी गुणवत्ता अच्छी है, यह ठीक है",3,Neutral,0.2246,Positive
35,अच्छा उत्पाद मिला,समीक्षा प्रदान करने के लिए शीघ्र। मैंने यहां समीक्षा दी है क्योंकि इसके बिना मैं वारंटी रजिस्टर नहीं कर सकता। ये कोई एहसान नहीं है. इसलिए मैंने 2 स्टार्ट चुने।,2,Negative,0.1,Positive
36,"संगीत के लिए अच्छा है, फ़ोन कॉल के लिए नहीं","संगीत सुनना बहुत अच्छा है. उतार-चढ़ाव और बहुत संतुलित और यह प्रीमियम लगता है। एक घंटे से ज्यादा समय तक पहनने पर भी आराम महसूस होता है। एकमात्र नकारात्मक पक्ष यह है कि ईयरबड्स की ये जोड़ी उनके फोन कॉल को आसान नहीं बनाती है। दूसरी तरफ लगातार बहुत अधिक पृष्ठभूमि शोर हो रहा है और माइक स्पष्ट आवाज पकड़ने के लिए अच्छी तरह से डिज़ाइन नहीं किए गए हैं। इसलिए यदि आप अपने फ़ोन कॉल ढूंढ रहे हैं, तो कहीं और देखें",3,Neutral,0.2148,Positive
37,बहुत बुरा,"बोतल से घिसी-पिटी गंध आ रही है। मैंने इसे बस एक बार इस्तेमाल किया था और अब यह एक कोने में पड़ा हुआ है। सबसे खराब गुणवत्ता, केवल स्मार्ट मार्केटिंग नौटंकी। अपना पैसा बर्बाद मत करो",1,Negative,-0.1714,Negative
38,यह एक अच्छा लैपटॉप स्टैंड है,"यह मजबूत है और 15.6 इंच के लैपटॉप के लिए अच्छा काम करता है, मेरे लैपटॉप का वजन लगभग 2 किलोग्राम है और यह हिलता नहीं है। अच्छी खरीदारी.",5,Positive,0.5667,Positive
39,शोर के लिए अच्छे ईयरबड,अच्छा लगता है ðð» धन्यवाद शोर ट्व्स,3,Neutral,0.7,Positive
40,बैटरी प्रदर्शन,पूर्ण चार्ज के बाद यह केवल 3 से 4 घंटे तक काम करता है यदि आप इसे लगातार उपयोग करते हैं........ यह वास्तव में बेकार है ðððððð,2,Negative,-0.05,Negative
41,चार्ज,मुझे एर्गोनोमिक और लचीला डिज़ाइन पसंद है लेकिन मुझे इसके चार्ज करने का तरीका पसंद नहीं आया क्योंकि जब मैंने इसे 4 घंटे के लिए चार्ज किया... तो यह 2 स्पीड पर मुश्किल से 20 मिनट तक चला... मेरे पैसे की बर्बादी... मत करो इस बड़े घोटाले को खरीदें,1,Negative,-0.05,Negative
42,अतिरंजित कीमत,कीमत कम होनी चाहिए और तार लम्बा होना चाहिए,3,Neutral,0.0,Neutral
43,पूर्ण ट्रिमिंग के लिए उपयोगी नहीं है,"उपयोग के बाद, जिन लोगों को पूर्ण ट्रिमिंग की आवश्यकता होती है वे इस मशीन को नहीं खरीदते हैं, इस ट्रिमर में केवल आंशिक बाल ट्रिमिंग होती है।",1,Negative,0.0833,Positive
44,अब एक साल से काम कर रहा हूं. बहुत विश्वसनीय,"बहुत एर्गोनोमिक नहीं, लेकिन लंबी अवधि के लिए विश्वसनीय।",5,Positive,-0.075,Negative
45,बिजली की गंध आ रही है,मैं इसे गर्म पानी के लिए उपयोग करता हूं। पानी से बिजली जैसी गंध आ रही है। लेकिन इसकी कीमत और क्वालिटी ठीक है,3,Neutral,0.3333,Positive
46,पैसे की बर्बादी इसके लायक नहीं है,"मीडिया लोड नहीं किया जा सका. बोतल से बहुत रिसाव होता है और चाहे आप कितनी भी जोर से रगड़ें, सिपर वाला हिस्सा पीला हो जाता है और कुछ काले धब्बे बन जाते हैं जिन्हें हटाया नहीं जा सकता।",2,Negative,-0.0222,Neutral
47,खरोंचें,इस पंखे में कई खरोंचें हैं,2,Negative,0.5,Positive
48,कामकाजी जीवन काल - 1 महीना,"मैं अपने बेटों के बाल काटने के लिए एक कॉर्डेड क्लिपर लेना चाहता था क्योंकि कॉर्डलेस क्लिपर के लिए बार-बार बैटरी बदलने की आवश्यकता होती है। वाहल एक अच्छा ब्रांड लगा और उसने इसे खरीदने का फैसला किया। शुरुआत में, सब कुछ ठीक रहा...विभिन्न लंबाई के लिए लगभग 10-12 अटैचमेंट थे, क्लिपर्स ने अच्छा काम किया...बच्चे खुश, मैं खुश। और फिर शायद एक महीने से कुछ अधिक समय तक 1-2 बार उपयोग करने के बाद, क्लिपर्स ने काम करना बंद कर दिया!..बिना किसी कारण के! घर में कोई बिजली का उतार-चढ़ाव नहीं, कोई बिजली की कमी नहीं, कुछ भी नहीं... एक दिन, क्लिपर ने भूत को छोड़ने का फैसला किया! रिप्लेसमेंट:-मैंने सेट को बदलने की कोशिश की क्योंकि इसे खरीदे हुए कुछ ही महीने हुए थे। . दुर्भाग्य से कोई प्रतिस्थापन विकल्प नहीं हैं। मुझे उत्पाद पृष्ठ पर सूचीबद्ध हेल्पलाइन मिली और मैंने उन्हें कॉल किया। ऐसा लगता है कि दक्षिण में एकमात्र सेवा केंद्र हैदराबाद में है और मुझे उन्हें उत्पाद भेजना होगा, वे इसकी सेवा करेंगे और इसे वापस भेज देंगे जिसमें एक महीना लगेगा! पूरी प्रक्रिया ने मुझे ऐसा करने से हतोत्साहित किया। अंततः, मेरे पास एक ब्रांडेड क्लिपर है जो और कुछ नहीं बल्कि चारों ओर पड़ा हुआ प्लास्टिक और स्टील का एक टुकड़ा है, जो किसी के काम का नहीं है! 1200 रुपये बर्बाद!",1,Negative,0.207,Positive
49,बिजली कटौती के लिए जरूरी है,"मैंने हाल ही में फिलिप्स स्टेलर ब्राइट रिचार्जेबल इमरजेंसी इन्वर्टर एलईडी बल्ब खरीदा है और मैं इसके प्रदर्शन से बहुत प्रभावित हूं। यह बल्ब बिजली कटौती के दौरान उज्ज्वल, क्रिस्टल-स्पष्ट रोशनी प्रदान करता है, जिससे यह किसी भी घर के लिए एक आवश्यक वस्तु बन जाता है। मुझे विशेष रूप से यह पसंद है कि बल्ब रिचार्जेबल है, इसलिए मुझे हाथ में बैटरी होने के बारे में चिंता करने की ज़रूरत नहीं है। बल्ब को स्थापित करना और उपयोग करना भी बहुत आसान है।",3,Neutral,0.4233,Positive
